Firearm Reference Number,Make,Model,Individual Amount
150168,S&J Hardware,SJ-15,1520
153946,Intrepid Tactical Solutions,RAS-12,1520
155486,GPI Manufacturing,SLR15,1520
155811,Dynamic Arms Research (DAR),DAR-15,1520
155812,Dynamic Arms Research (DAR),DAR-10,1520
159286,Breda,B4,1520
161266,SFRC,SFRC-15,1520
162347,Calguns,AR15,1520
164484,LEI,LM7,1520
164943,Safir,T12,1520
165182,Rise Armament,Ripper,1520
166166,V Seven Weapons,GI Seven,1520
167002,Area 53,El Capitan,1520
168562,Mil-Sport,AR15,1520
168563,Mil-Sport,AR15 Pistol,1520
169062,Kodiak Defence,Kodiak-15,1520
169063,Kodiak Defence,Kodiak-39,1520
171683,Combat Shooters,BMF,1520
171702,Royal Arms,Rak15,1520
172702,Defiance,DMK22,1520
177823,Black Leaf Industries,BL15,1520
178025,Black Leaf Industries,BL10,1520
178623,Rock Island Armory,XM15,1520
179442,Hayes Custom Guns,H15,1520
179462,Black Leaf Industries,BL10B Prototype,1520
182343,Irunguns,Anarchy,1520
182542,ISSC,PAR223 Delta,1520
183302,Kodiak Defence,JTF2 Silver Edition,1520
183822,Haenel,CR223,1520
183882,Delphi Tactical,Delphi-15,1520
185523,Ascend Armory,A15,1520
187042,Gunwerks,WY15,1520
188282,Angstadt Arms,JACK9,1520
190324,Haenel,CR308,1520
191265,Juggernaut Tactical,JT-10,1520
191266,Juggernaut Tactical,JT-15,1520
192245,Arms East,N8S,1520
193222,MKE,KNT-76,1520
193402,Schmeisser,MR-BA19,1520
193502,Revolution Armory,AR-410,1520
194204,Nemesis Arms,11X10,1520
194712,True North Arms,TNA-15,1520
195100,Iron City Rifle Works,IC-15,1520
195471,MVB Industries,MVB-15F,1520
195634,Sterling Arms,SAI 102,1520
195882,Kodiak Defence,KD9,1520
195898,Tech Designs,AR-15,1520
195907,E3 Arms,Omega-15,1520
195941,Iron City Rifle Works,IC-9,1520
195974,EP Armory,AR15/M16 Type,1520
196002,Kodiak Defence,KD15,1520
130447,Smith & Wesson,M&P 15VTAC,1525
135377,Smith & Wesson,M&P 15TS,1525
152986,Double Star,Star-15 C3,1525
195889,FN,FN15 Pistol,1525
124091,Bushmaster,Bushmaster 308,1530
158087,Ares Defense Systems,SCR,1530
189043,Armed,SF12,1530
125545,Rock River Arms,LAR-15 Elite,1540
133796,Rock River Arms,LAR-40,1540
180882,Troy Defense,Troy M16A2 Mogadishu,1540
196082,Springfield Armory,Saint Victor,1540
117781,DPMS,A-15 Panther Tactical,1550
121588,Double Star,Star-15 CritterSlayer,1550
125559,LUSA,LUSA A2,1550
147862,Jard,J48,1550
