Firearm Reference Number,Make,Model,Individual Amount
127296,Serbu,BFG-50A,0
108915,Smith & Wesson,M1940 MARK 1,0
46720,Christensen Arms,Carbon One Ranger,0
118711,Christensen Arms,Carbon One Ranger,0
119889,Christensen Arms,Carbon One Conquest,0
30129,Weatherby,MARK V Crown Custom,0
195040,Thor Global Defense Group,M96 Windrunner Series,0
118907,Swiss Arms,Blue Star,0
119484,Swiss Arms,Swiss Arms Edition,0
119485,Swiss Arms,Red Devil,0
119588,Swiss Arms,Heavy Metal,0
124216,Swiss Arms,Classic Green Carbine,0
129006,Swiss Arms,Black Special Carbine,0
146457,Swiss Arms,Black Special CQB,0
146459,Swiss Arms,Black Special Target,0
163526,Swiss Arms,Hiemis,0
163527,Swiss Arms,Ver,0
163528,Swiss Arms,Aestas,0
163529,Swiss Arms,Autumnus,0
147547,Alexander Arms,Ulfberht,0
